"filename", "language", "Markdown", "YAML", "JSON with Comments", "JavaScript", "Shell Script", "TypeScript", "JSON", "Makefile", "Ignore", "Docker", "TypeScript JSX", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.allstar/branch_protection.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gcp/release-docker.yml", "YAML", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 72
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gemini/config.yaml", "YAML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/bug_report.yml", "YAML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 60
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/feature_request.yml", "YAML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/website_issue.yml", "YAML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/calculate-vars/action.yml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/create-pull-request/action.yml", "YAML", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/npm-auth-token/action.yml", "YAML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/post-coverage-comment/action.yml", "YAML", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 120
