"filename", "language", "TypeScript", "JSON", "WebAssembly Text Format", "JSON with Comments", "comment", "blank", "total"
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/index.ts", "TypeScript", 48, 0, 0, 0, 5, 3, 56
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/package.json", "JSON", 0, 96, 0, 0, 0, 1, 97
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/__mocks__/fs/promises.ts", "TypeScript", 35, 0, 0, 0, 8, 6, 49
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/codebase-investigator.test.ts", "TypeScript", 40, 0, 0, 0, 5, 4, 49
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/codebase-investigator.ts", "TypeScript", 132, 0, 0, 0, 12, 10, 154
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/executor.test.ts", "TypeScript", 1580, 0, 0, 0, 112, 238, 1930
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/executor.ts", "TypeScript", 827, 0, 0, 0, 145, 108, 1080
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/invocation.test.ts", "TypeScript", 251, 0, 0, 0, 17, 41, 309
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/invocation.ts", "TypeScript", 86, 0, 0, 0, 35, 17, 138
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/registry.test.ts", "TypeScript", 170, 0, 0, 0, 15, 37, 222
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/registry.ts", "TypeScript", 88, 0, 0, 0, 31, 17, 136
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/schema-utils.test.ts", "TypeScript", 139, 0, 0, 0, 8, 19, 166
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/schema-utils.ts", "TypeScript", 54, 0, 0, 0, 24, 13, 91
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/subagent-tool-wrapper.test.ts", "TypeScript", 122, 0, 0, 0, 13, 23, 158
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/subagent-tool-wrapper.ts", "TypeScript", 45, 0, 0, 0, 29, 5, 79
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/types.ts", "TypeScript", 73, 0, 0, 0, 82, 15, 170
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/utils.test.ts", "TypeScript", 92, 0, 0, 0, 7, 17, 116
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/agents/utils.ts", "TypeScript", 20, 0, 0, 0, 17, 7, 44
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/availability/modelAvailabilityService.test.ts", "TypeScript", 131, 0, 0, 0, 8, 27, 166
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/availability/modelAvailabilityService.ts", "TypeScript", 100, 0, 0, 0, 9, 25, 134
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/availability/modelPolicy.ts", "TypeScript", 14, 0, 0, 0, 30, 8, 52
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/availability/policyCatalog.test.ts", "TypeScript", 77, 0, 0, 0, 5, 12, 94
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core/src/availability/policyCatalog.ts", "TypeScript", 91, 0, 0, 0, 16, 15, 122
