"filename", "language", "Markdown", "YAML", "JSON with Comments", "JavaScript", "Shell Script", "TypeScript", "JSON", "Makefile", "Ignore", "Docker", "TypeScript JSX", "comment", "blank", "total"
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.allstar/branch_protection.yaml", "YAML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gcp/release-docker.yml", "YAML", 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -9, -72
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gemini/config.yaml", "YAML", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -13
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/bug_report.yml", "YAML", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9, -60
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/feature_request.yml", "YAML", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -36
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/website_issue.yml", "YAML", 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -41
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/calculate-vars/action.yml", "YAML", 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -34
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/create-pull-request/action.yml", "YAML", 0, -54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -57
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/npm-auth-token/action.yml", "YAML", 0, -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -46
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/post-coverage-comment/action.yml", "YAML", 0, -108, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -9, -120
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/publish-release/action.yml", "YAML", 0, -253, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21, -276
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/push-docker/action.yml", "YAML", 0, -76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -79
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/push-sandbox/action.yml", "YAML", 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -97
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/run-tests/action.yml", "YAML", 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -39
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/setup-npmrc/action.yml", "YAML", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -23
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/tag-npm-release/action.yml", "YAML", 0, -114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -126
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/verify-release/action.yml", "YAML", 0, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12, -101
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/dependabot.yml", "YAML", 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -36
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/pull_request_template.md", "Markdown", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -11, -43
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/scripts/pr-triage.sh", "Shell Script", 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, -16, -20, -138
"/Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/ci.yml", "YAML", 0, -334, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -58, -393
